title,tagline,description,instructions,muscles_targeted,difficulty,tips_and_tricks,max_bodyweight_percentage,min_bodyweight_percentage,min_rep_duration,max_rep_duration,is_body_weight
Kettlebell Swing,The Hip-Hinge Powerhouse,"A powerful, full-body movement that develops hip power, core strength, and cardio endurance.","1. Stand with feet shoulder-width apart, holding the kettlebell with both hands in front. 2. Hinge at the hips, bending knees slightly, and push your hips back as you lower the kettlebell between your legs. 3. Drive your hips forward and swing the kettlebell up to chest height, keeping arms straight. 4. Repeat the movement in a fluid, continuous motion.","Glutes, hamstrings, lower back, abs, shoulders, and grip.",Beginner,Keep a neutral spine and explosive hip drive.,20,10,3,5,No
Kettlebell Goblet Squat,The Ultimate Lower Body Builder,"A foundational lower body exercise that targets the quadriceps, hamstrings, and glutes.","1. Stand with feet shoulder-width apart, holding the kettlebell by the horns at chest level. 2. Lower into a squat by bending your knees and pushing your hips back, keeping your chest up and the kettlebell close to your body. 3. Push through your heels to return to the starting position. 4. Repeat for desired reps.","Quadriceps, hamstrings, glutes, and core.",Beginner,Keep your chest up and engage your core throughout the movement.,15,5,3,5,No
Kettlebell Turkish Get-Up,The Full-Body Functional Challenge,"A complex, multi-step exercise that promotes full-body strength, balance, and coordination.","1. Lie on your back with a kettlebell in your right hand, arm extended towards the ceiling. 2. Bend your right knee and place your right foot flat on the floor. 3. Press into your right foot and left elbow to lift your torso off the ground. 4. Transition to a seated position, then to a kneeling position. 5. Stand up, keeping the kettlebell overhead. 6. Reverse the steps to return to the starting position. Repeat on the other side.","Full-body, with emphasis on core, shoulders, and hips.",Intermediate,Break down the movement into steps and practice each one separately before combining.,10,5,10,15,No
Kettlebell Windmill,The Core and Shoulder Stabilizer,"A unique exercise that challenges core stability, shoulder mobility, and hamstring flexibility.","1. Stand with feet wider than shoulder-width apart, holding a kettlebell overhead in your right hand. 2. Turn your left foot out slightly, keeping your right foot pointing forward. 3. Lower your left hand towards your left foot, hinging at your hips while keeping your right arm extended overhead. 4. Return to the starting position by engaging your core and glutes. Repeat on the other side.","Core, shoulders, glutes, and hamstrings.",Intermediate,"Keep your eye on the kettlebell and maintain a slow, controlled movement.",10,5,5,7,No
Kettlebell Deadlift,The Fundamental Strength Builder,"A fundamental exercise that targets the posterior chain, teaching proper lifting mechanics.","1. Stand with feet hip-width apart, kettlebell between your feet. 2. Hinge at the hips, bending knees slightly, and grasp the kettlebell handle with both hands. 3. Drive through your heels, extending hips and knees to lift the kettlebell. 4. Lower the kettlebell back to the ground, maintaining a flat back.","Glutes, hamstrings, lower back, and core.",Beginner,Keep your core engaged and chest lifted throughout the movement.,25,10,3,5,No
Kettlebell Clean,The Explosive Hip-Drive Transition,An explosive exercise that transitions the kettlebell from the ground to the racked position.,"1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Squat down and grasp the kettlebell handle with one hand. 3. Drive through your heels and extend your hips, pulling the kettlebell upwards. 4. Rotate your hand and tuck your elbow, catching the kettlebell in the racked position.","Glutes, hamstrings, quads, core, shoulders, and grip.",Intermediate,Keep the kettlebell close to your body and use hip drive to generate power.,15,5,3,5,No
Kettlebell Snatch,The Ultimate Overhead Powerhouse,"A full-body, explosive exercise that moves the kettlebell from the ground to overhead in one fluid motion.","1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Squat down and grasp the kettlebell handle with one hand. 3. Drive through your heels and extend your hips, pulling the kettlebell upwards. 4. Punch your hand towards the ceiling, catching the kettlebell overhead with a straight arm.","Glutes, hamstrings, quads, core, shoulders, and grip.",Advanced,Keep the kettlebell close to your body and use hip drive to generate power.,20,10,3,5,No
Kettlebell High Pull,The Upper Body Power Developer,An explosive exercise that targets the upper body and encourages powerful hip drive.,"1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Squat down and grasp the kettlebell handle with one hand. 3. Drive through your heels and extend your hips, pulling the kettlebell upwards. 4. At the top of the movement, pull your elbow back and up, keeping your hand close to your body.","Glutes, hamstrings, quads, core, shoulders, and grip.",Intermediate,Keep the kettlebell close to your body and use hip drive to generate power.,15,5,3,5,No
Kettlebell Front Squat,The Anterior Chain Strengthener,A lower body exercise that focuses on the quadriceps while challenging core stability.,"1. Clean a kettlebell into the racked position with one hand. 2. Stand with feet shoulder-width apart. 3. Lower into a squat by bending your knees and pushing your hips back, keeping your chest up and the kettlebell close to your body. 4. Push through your heels to return to the starting position. 5. Repeat for desired reps, then switch sides.","Quadriceps, hamstrings, glutes, and core.",Intermediate,Keep your chest up and engage your core throughout the movement.,20,10,3,5,No
Kettlebell Push Press,The Overhead Strength Amplifier,"A powerful exercise that combines a shoulder press with a leg drive, increasing overhead strength.","1. Clean a kettlebell into the racked position with one hand. 2. Stand with feet shoulder-width apart. 3. Slightly bend your knees and then forcefully extend them, using the momentum to press the kettlebell overhead. 4. Lower the kettlebell back to the racked position. 5. Repeat for desired reps, then switch sides.","Shoulders, triceps, core, and legs.",Intermediate,Use the momentum generated by your legs to help press the kettlebell overhead.,15,5,3,5,No
